identifier,latitude,longitude,type,nav_type,usage,region
AFYAB,43.24043833333333,-105.736345,WAYPOINT,C,L,ENRT
AG,33.285465,-81.941445,NDB,,,
AGADA,18.725148333333333,-64.33766166666666,WAYPOINT,R,,ENRT
AGAIN,31.620595,-97.971335,WAYPOINT,W,,ENRT
AGAKE,38.789115,-88.23512,WAYPOINT,W,,ENRT
AGARD,39.03948166666667,-76.06852333333333,WAYPOINT,C,L,ENRT
AGASY,36.284501666666664,-78.471655,WAYPOINT,W,,ENRT
AGATT,41.183840000000004,-96.00848666666667,WAYPOINT,W,,ENRT
AGAWA,42.02262666666667,-72.70317833333333,WAYPOINT,R,,ENRT
AGAZY,31.190701666666666,-104.13502333333334,WAYPOINT,C,L,ENRT
AGBAH,44.15880833333333,-103.12349333333333,WAYPOINT,R,,ENRT
AGC,40.273853333333335,-80.03784666666667,VOR_DME,K,,
AGCAP,40.43908,-80.62472333333334,WAYPOINT,W,,ENRT
AGDOX,43.283896666666664,-79.10266833333333,WAYPOINT,W,,ENRT
AGECU,47.85512166666667,-97.40048666666667,WAYPOINT,C,,ENRT
AGEKE,39.155615,-121.44146666666667,WAYPOINT,R,,ENRT
AGENE,40.05873666666667,-74.035785,WAYPOINT,W,,ENRT
AGENS,41.023963333333334,-92.34170833333333,WAYPOINT,C,L,ENRT
AGENT,39.60648,-94.90342666666666,WAYPOINT,R,H,ENRT
AGEPE,62.27531166666667,-163.63882,WAYPOINT,C,L,ENRT
AGERS,26.372705,-80.22332166666666,WAYPOINT,W,,ENRT
AGESE,55.54069833333333,-132.03902166666666,WAYPOINT,W,,ENRT
AGETE,33.503005,-92.15476,WAYPOINT,W,,ENRT
AGETY,42.09021333333333,-92.91998833333334,WAYPOINT,W,L,ENRT
AGEXY,38.187955,-96.40506333333333,WAYPOINT,C,L,ENRT
AGFEF,35.850838333333336,-92.009015,WAYPOINT,W,,ENRT
AGGEE,30.323866666666667,-96.00969666666667,WAYPOINT,W,,ENRT
AGIBE,38.941941666666665,-75.38777166666667,WAYPOINT,R,,ENRT
AGICU,46.28503333333333,-123.48423333333334,WAYPOINT,W,,ENRT
AGIGE,58.32046166666667,-135.51758166666667,WAYPOINT,R,,ENRT
AGIME,38.49023833333333,-108.418865,WAYPOINT,W,L,ENRT
AGING,40.452931666666665,-82.488155,WAYPOINT,W,,ENRT
AGIRE,8.751333333333333,132.45583333333335,WAYPOINT,W,,ENRT
AGISY,36.050045,-87.62250833333333,WAYPOINT,W,,ENRT
AGIXE,44.50311,-70.40555666666667,WAYPOINT,W,,ENRT
AGJ,31.184636666666666,-98.13844833333333,VOR_DME,K,,
AGLEY,32.517695,-88.57182666666667,WAYPOINT,R,,ENRT
AGLIC,37.123055,-113.54250833333333,WAYPOINT,W,,ENRT
AGMIB,48.22183,-106.46999333333333,WAYPOINT,W,,ENRT
AGMIF,77.0,-141.0,WAYPOINT,W,,ENRT
AGMIV,61.75367833333333,-166.08769833333332,WAYPOINT,R,,ENRT
AGNAQ,43.954185,-92.34165333333333,WAYPOINT,W,,ENRT
AGNEZ,42.222118333333334,-74.18645833333333,WAYPOINT,R,L,ENRT
AGNOL,73.5,-168.97066666666666,WAYPOINT,W,,ENRT
AGNUS,39.220468333333336,-89.75257333333333,WAYPOINT,W,,ENRT
AGOBE,42.05694666666667,-78.640095,WAYPOINT,W,,ENRT
AGOGE,44.07476166666667,-124.20820833333333,WAYPOINT,W,,ENRT
AGOLY,9.500596666666667,167.58678666666665,WAYPOINT,W,,ENRT
AGOMA,44.584768333333336,-87.60214833333333,WAYPOINT,C,L,ENRT
AGOPY,41.621716666666664,-94.089015,WAYPOINT,W,,ENRT
AGOST,43.03703333333333,-89.60798,WAYPOINT,W,,ENRT
AGPAL,54.52255,-130.79232833333333,WAYPOINT,R,,ENRT
AGRYN,48.558838333333334,-111.85410166666666,WAYPOINT,C,L,ENRT
AGTOW,33.673831666666665,-92.743065,WAYPOINT,W,,ENRT
AGUCI,59.203705,-135.47262166666667,WAYPOINT,W,,ENRT
AGUCO,41.98732833333333,-89.22056,WAYPOINT,W,,ENRT
AGUDE,45.12428,-92.38849833333333,WAYPOINT,C,L,ENRT
AGUDY,35.47114333333333,-92.07241833333333,WAYPOINT,W,,ENRT
AGUGE,43.491885,-72.54205333333333,WAYPOINT,W,,ENRT
AGUNE,38.10483333333333,-72.83366666666667,WAYPOINT,W,B,ENRT
AGURA,67.45866666666667,-168.97066666666666,WAYPOINT,W,,ENRT
AGUSE,27.98876,-82.12276,WAYPOINT,R,,ENRT
AGUYI,43.683885,-92.82453833333334,WAYPOINT,W,,ENRT
AGZ,43.058035,-98.289235,NDB,,,
AHART,39.32543833333333,-121.48729666666667,WAYPOINT,R,,ENRT
AHASI,34.63689,-92.23809,WAYPOINT,W,,ENRT
AHAYY,36.9365,-72.87633333333333,WAYPOINT,W,,ENRT
AHC,40.267385,-120.15118,VOR_DME,K,,
AHCIN,38.708558333333336,-80.09064833333333,WAYPOINT,C,L,ENRT
AHEIM,33.818855,-117.90716833333333,WAYPOINT,R,L,ENRT
AHFAX,68.075495,-162.84207666666666,WAYPOINT,W,,ENRT
AHGOL,41.552191666666666,-86.00329166666667,WAYPOINT,W,,ENRT
AHHIC,31.473108333333332,-110.88667666666667,WAYPOINT,W,,ENRT
AHIEO,44.088213333333336,-94.77436666666667,WAYPOINT,W,,ENRT
AHIMY,34.60251,-91.57375333333333,WAYPOINT,W,,ENRT
AHKEB,38.25515333333333,-76.35657666666667,WAYPOINT,W,,ENRT
AHLAB,27.70435833333333,-97.28638833333333,WAYPOINT,R,,ENRT
AHLES,42.042185,-83.20433333333334,WAYPOINT,R,,ENRT
AHLEX,33.876055,-116.68709,WAYPOINT,C,L,ENRT
AHLOU,41.6505,-88.12133833333333,WAYPOINT,W,,ENRT
AHMED,41.491951666666665,-88.85868,WAYPOINT,C,L,ENRT
AHMET,41.30801666666667,-81.455575,WAYPOINT,W,,ENRT
AHMIT,44.49209833333333,-93.19044166666667,WAYPOINT,C,L,ENRT
AHN,33.94189,-83.32152166666667,VOR_DME,K,,
AHNDO,24.423666666666666,-131.407,WAYPOINT,W,B,ENRT
AHNEM,40.387541666666664,-79.41963166666666,WAYPOINT,W,,ENRT
AHOEY,35.00604666666667,-80.092655,WAYPOINT,W,H,ENRT
AHOWW,37.11909333333333,-113.18900666666667,WAYPOINT,W,H,ENRT
AHOYE,36.75131666666667,-88.957625,WAYPOINT,C,L,ENRT
AHPAH,43.30316666666667,-78.12251833333333,WAYPOINT,W,H,ENRT
AHPAZ,34.318595,-109.9552,WAYPOINT,W,,ENRT
AHQ,41.236835,-96.59235,NDB,,,
AHTIY,39.90864166666667,-80.384205,WAYPOINT,C,,ENRT
AHUGE,28.80666,-97.65509,WAYPOINT,W,,ENRT
AHURI,39.27433,-120.10436166666666,WAYPOINT,W,,ENRT
AHVUH,64.41841666666667,-156.55463166666667,WAYPOINT,C,L,ENRT
AI,34.226075,-96.92653166666666,NDB,,,
AIA,42.053378333333335,-102.80266666666667,VOR_DME,K,,
AIBIE,7.341666666666667,133.38833333333332,WAYPOINT,W,B,ENRT
AIBUX,44.07196666666667,-68.74023333333334,WAYPOINT,W,,ENRT
AICAP,61.171283333333335,-149.99115,WAYPOINT,W,,ENRT
AIDIN,58.16913,-134.48463,WAYPOINT,W,,ENRT
AIK,33.65108,-81.67285,NDB,,,
AILED,55.68526833333333,-132.85920166666668,WAYPOINT,W,,ENRT
AILEE,63.600006666666665,-149.53724333333332,WAYPOINT,C,L,ENRT
AILES,44.804523333333336,-83.650855,WAYPOINT,C,L,ENRT
AILEY,32.29164166666666,-82.66758833333333,WAYPOINT,R,L,ENRT
AIMEE,28.072758333333333,-97.54279833333334,WAYPOINT,R,,ENRT
AIMES,40.58562166666667,-104.54170666666667,WAYPOINT,C,L,ENRT
AIR,40.01688166666667,-80.81700333333333,VOR_DME,K,,
AIRBE,36.73545333333333,-87.40822,WAYPOINT,C,,ENRT
AIRBS,27.990738333333333,-82.10352333333333,WAYPOINT,R,,ENRT
AIRBT,26.77527,-80.70364166666667,WAYPOINT,W,L,ENRT
AIRCO,43.20611,-78.47616666666667,WAYPOINT,C,L,ENRT
AIRFC,37.9675,-80.6085,WAYPOINT,W,,ENRT
AIRGD,37.92633333333333,-79.7675,WAYPOINT,W,,ENRT
AIRLG,29.40273,-90.30185666666667,WAYPOINT,W,,ENRT
AIRLI,34.18783666666667,-77.86740333333333,WAYPOINT,W,,ENRT
AIRRA,41.10274666666667,-80.05812166666666,WAYPOINT,W,H,ENRT
AIRRE,33.88872,-96.05944166666667,WAYPOINT,W,,ENRT
AITAR,44.18919666666667,-68.95227166666666,WAYPOINT,W,,ENRT
AJA,13.452116666666667,144.73549333333332,NDB,,,
AJACO,41.352178333333335,-79.705655,WAYPOINT,W,,ENRT
AJAHO,33.10759,-99.05345833333334,WAYPOINT,C,L,ENRT
AJAVI,40.90761166666667,-124.15262666666666,WAYPOINT,W,,ENRT
AJAXX,39.50467833333333,-107.003205,WAYPOINT,R,L,ENRT
AJAYS,40.57466333333333,-85.29300666666667,WAYPOINT,C,L,ENRT
AJETU,32.72192,-103.308675,WAYPOINT,W,,ENRT
AJEWU,33.940690000000004,-101.82518,WAYPOINT,R,,ENRT
AJGON,39.923426666666664,-73.88685166666667,WAYPOINT,W,,ENRT
AJILO,37.171371666666666,-83.77249,WAYPOINT,W,,ENRT
AJINK,20.116666666666667,-163.3,WAYPOINT,W,,ENRT
AJIPO,42.273003333333335,-89.50250666666666,WAYPOINT,W,,ENRT
AJIVA,36.78431833333333,-76.57337833333334,WAYPOINT,W,,ENRT
AJJAY,43.723425,-69.60137,WAYPOINT,W,H,ENRT
